                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4735,                 0.9081,                0.99922,                 1.4386,             0.00023445,             0.00023445,             0.00023445
                      2,                0.19833,                0.98676,                      1,                 1.3001,             0.00044906,             0.00044906,             0.00044906
                      3,                0.06361,                0.99922,                      1,                 1.2793,             0.00064011,             0.00064011,             0.00064011
                      4,                0.06211,                0.99611,                      1,                 1.2817,             0.00060797,             0.00060797,             0.00060797
                      5,                0.04384,                0.99377,                      1,                 1.2824,             0.00060797,             0.00060797,             0.00060797
                      6,                0.03547,                      1,                      1,                 1.2763,             0.00057263,             0.00057263,             0.00057263
                      7,                0.04562,                0.98754,                      1,                 1.2887,             0.00053728,             0.00053728,             0.00053728
                      8,                0.02516,                0.99844,                      1,                 1.2777,             0.00050194,             0.00050194,             0.00050194
                      9,                0.02493,                      1,                      1,                 1.2745,              0.0004666,              0.0004666,              0.0004666
                     10,                0.01164,                      1,                      1,                 1.2742,             0.00043126,             0.00043126,             0.00043126
                     11,                0.01259,                      1,                      1,                 1.2742,             0.00039591,             0.00039591,             0.00039591
                     12,                0.01541,                      1,                      1,                 1.2747,             0.00036057,             0.00036057,             0.00036057
                     13,                0.01635,                      1,                      1,                 1.2742,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00832,                      1,                      1,                 1.2741,             0.00028988,             0.00028988,             0.00028988
                     15,                0.01597,                      1,                      1,                 1.2741,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00671,                      1,                      1,                 1.2741,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00815,                      1,                      1,                 1.2741,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00848,                      1,                      1,                 1.2741,             0.00014851,             0.00014851,             0.00014851
                     19,                 0.0108,                      1,                      1,                 1.2741,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00882,                      1,                      1,                 1.2741,             7.7826e-05,             7.7826e-05,             7.7826e-05
