                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0014,                0.10326,                0.72283,                 1.9492,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                  1.867,                0.27174,                 0.8913,                 1.9145,             8.9757e-05,             8.9757e-05,             8.9757e-05
                      3,                 1.6478,                 0.5163,                0.97283,                 1.8487,             0.00013338,             0.00013338,             0.00013338
                      4,                 1.3674,                0.70652,                0.98913,                 1.7478,             0.00017369,             0.00017369,             0.00017369
                      5,                 1.0544,                0.78261,                0.99457,                  1.609,             0.00021072,             0.00021072,             0.00021072
                      6,                0.81153,                0.84783,                      1,                   1.49,             0.00024444,             0.00024444,             0.00024444
                      7,                0.60941,                0.91304,                      1,                 1.3907,             0.00027486,             0.00027486,             0.00027486
                      8,                0.43706,                0.95652,                      1,                 1.3094,             0.00030199,             0.00030199,             0.00030199
                      9,                0.32226,                0.96739,                      1,                 1.2675,             0.00032581,             0.00032581,             0.00032581
                     10,                0.24244,                0.97826,                      1,                 1.2325,             0.00034634,             0.00034634,             0.00034634
                     11,                 0.1979,                0.97826,                      1,                 1.2267,             0.00036357,             0.00036357,             0.00036357
                     12,                0.15568,                0.98913,                      1,                 1.2037,              0.0003775,              0.0003775,              0.0003775
                     13,                0.15608,                0.98913,                      1,                 1.1964,             0.00038813,             0.00038813,             0.00038813
                     14,                0.12461,                0.99457,                      1,                  1.192,             0.00039546,             0.00039546,             0.00039546
                     15,                0.13234,                0.99457,                      1,                 1.1828,             0.00038413,             0.00038413,             0.00038413
                     16,                0.10911,                0.99457,                      1,                 1.1839,             0.00038413,             0.00038413,             0.00038413
                     17,                0.07532,                0.99457,                      1,                 1.1844,             0.00036057,             0.00036057,             0.00036057
                     18,                0.09364,                0.99457,                      1,                 1.1772,             0.00033701,             0.00033701,             0.00033701
                     19,                0.08557,                0.99457,                      1,                 1.1785,             0.00031345,             0.00031345,             0.00031345
                     20,                0.06367,                      1,                      1,                 1.1748,             0.00028988,             0.00028988,             0.00028988
                     21,                 0.0756,                      1,                      1,                 1.1757,             0.00026632,             0.00026632,             0.00026632
                     22,                0.04382,                      1,                      1,                 1.1729,             0.00024276,             0.00024276,             0.00024276
                     23,                0.07309,                      1,                      1,                 1.1717,              0.0002192,              0.0002192,              0.0002192
                     24,                0.05526,                      1,                      1,                 1.1714,             0.00019564,             0.00019564,             0.00019564
                     25,                0.07443,                      1,                      1,                 1.1722,             0.00017207,             0.00017207,             0.00017207
                     26,                0.03998,                      1,                      1,                 1.1722,             0.00014851,             0.00014851,             0.00014851
                     27,                0.05633,                      1,                      1,                 1.1719,             0.00012495,             0.00012495,             0.00012495
                     28,                 0.0458,                      1,                      1,                 1.1707,             0.00010139,             0.00010139,             0.00010139
                     29,                0.04091,                      1,                      1,                 1.1711,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.03974,                      1,                      1,                 1.1703,             5.4264e-05,             5.4264e-05,             5.4264e-05
